"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"EVI2B",-1.80987381110329,7.611587919643,-11.5554564050325,1.61997970432459e-17,3.08519499245202e-16,29.3609845975615,"Downregulated"
"SCG2",-2.23032589020551,4.74384116257447,-11.5515904599169,1.64429662829867e-17,3.12501556093239e-16,29.3460946768267,"Downregulated"
"P2RY14",-1.73139634129692,6.35790047313577,-11.5477139923953,1.66904918517979e-17,3.16549762732135e-16,29.3311624833052,"Downregulated"
"SULT1A2",-1.14038515072929,9.03239290712706,-11.5338347106816,1.7607936899554e-17,3.31890609185838e-16,29.2776850269679,"Downregulated"
"ENDOD1",-1.14295761159663,8.09274251719602,-11.5298604436948,1.78798863046059e-17,3.35409089360541e-16,29.2623678899534,"Downregulated"
"SCIN",-1.29910932086133,6.5285559942452,-11.4923166672568,2.06673273165612e-17,3.83254583403168e-16,29.1175809233014,"Downregulated"
"CCR2",-1.49390372172459,5.23726789807586,-11.4893315672941,2.0906922516469e-17,3.87306019143476e-16,29.1060619361803,"Downregulated"
"PDK4",-1.52759343386362,6.5931727241002,-11.4851181157914,2.12498820767249e-17,3.92075289021262e-16,29.0898012005113,"Downregulated"
"MT1M",-3.4060993545842,8.56913080421258,-11.4795141350801,2.17148282736452e-17,3.99849347930374e-16,29.0681708987707,"Downregulated"
"MYOT",-1.36520456554643,4.13380163206928,-11.4546933923325,2.39005957060406e-17,4.36156144526155e-16,28.9723240188369,"Downregulated"
"GIMAP6",-1.51966839391391,6.25239382766247,-11.4488146721535,2.44499802554069e-17,4.45738208632368e-16,28.9496125789862,"Downregulated"
"SYNE1",-1.18504357654541,5.51781316241165,-11.4137443714366,2.80023341889835e-17,5.05973210863013e-16,28.8140419682404,"Downregulated"
"EPHA3",-1.19776945089058,4.28742052246242,-11.4059727931738,2.88574750894069e-17,5.19888107209943e-16,28.7839804452743,"Downregulated"
"VIM",-1.24531476911846,10.5292336468648,-11.393978018112,3.02292663893346e-17,5.42470396849704e-16,28.7375694670046,"Downregulated"
"CLEC2B",-1.27129879102024,8.11311747910278,-11.3760425143875,3.24040808640545e-17,5.76981401016272e-16,28.6681415840617,"Downregulated"
"VSIG4",-1.65291737402747,6.57196720346188,-11.3474459143759,3.62026011208856e-17,6.37193574430942e-16,28.5573690880554,"Downregulated"
"THRB",-1.23360793232304,5.29243869232365,-11.344329812496,3.66427406214954e-17,6.44322016297436e-16,28.5452928628634,"Downregulated"
"IGSF9",-1.01890192744905,5.48854109467065,-11.3335995612901,3.8200026069049e-17,6.69778659757513e-16,28.5037001296164,"Downregulated"
"GPNMB",-2.13338087928417,9.24503697574461,-11.3198152826816,4.02988326090311e-17,7.05229570658045e-16,28.4502501899787,"Downregulated"
"MFSD4A",-1.70733728129307,6.99106208219617,-11.3002623991304,4.34768967093494e-17,7.55081709895329e-16,28.3743950332322,"Downregulated"
"TUBAL3",-1.77015680619845,7.94597405361203,-11.2878010750804,4.56329109463968e-17,7.88791316453268e-16,28.3260289708755,"Downregulated"
"SEMA6A",-1.51483253783849,7.40385903133342,-11.2824101250162,4.65987169473327e-17,8.03970337548525e-16,28.3050996852084,"Downregulated"
"INSL5",-4.61540339447655,7.05920251148338,-11.2749719013633,4.79652081289538e-17,8.26768719064861e-16,28.2762168975692,"Downregulated"
"MTM1",-1.0518888456454,6.28522231070908,-11.2301239682626,5.71041130431708e-17,9.68815386874886e-16,28.1019397168599,"Downregulated"
"SLC26A2",-3.17507347198372,10.9407498641266,-11.2291026221405,5.73315174857754e-17,9.70872664548117e-16,28.0979681847005,"Downregulated"
"TAGLN",-1.08123607284051,7.98640060930382,-11.1927689965494,6.60434284782552e-17,1.10012395848429e-15,27.9566081555182,"Downregulated"
"PLSCR4",-1.10117067938982,8.33951598396693,-11.1730921937663,7.1306306538481e-17,1.18123098817952e-15,27.8799920177651,"Downregulated"
"AQP1",-1.91702196549665,6.97213816729448,-11.1341720553437,8.29940106789314e-17,1.36145810004616e-15,27.7283211852974,"Downregulated"
"PRKAR2B",-1.79116389271302,7.04009696446004,-11.111530268215,9.0662759614382e-17,1.4727679462602e-15,27.6400097638664,"Downregulated"
"PAQR5",-1.23809465947693,6.4453300198303,-11.0975014318222,9.57685665345526e-17,1.55158613979125e-15,27.5852637780838,"Downregulated"
"SYNM",-1.59601683180803,6.28834864932265,-11.0770719930316,1.03726570041475e-16,1.66726143256849e-15,27.5055015499486,"Downregulated"
"MS4A4A",-1.25573657722104,6.71358225528005,-11.0560342246226,1.12618668179418e-16,1.79602293427003e-15,27.4233165354088,"Downregulated"
